'F1B113039','EU1214','E','2013/2014'
'F1B110003','EU2231','B','2013/2014'
'F1B110005','EU2231','B','2013/2014'
'F1B110016','EU2231','B','2013/2014'
'F1B110040','EU2231','C+','2013/2014'
'F1B110056','EU2231','B','2013/2014'
'F1B110059','EU2231','C+','2013/2014'
'F1B110063','EU2231','B','2013/2014'
'F1B110067','EU2231','C+','2013/2014'
'F1B110077','EU2231','B','2013/2014'
'F1B111036','EU2231','E','2013/2014'
'F1B112001','EU2231','B','2013/2014'
'F1B112002','EU2231','E','2013/2014'
'F1B112003','EU2231','B','2013/2014'
'F1B112005','EU2231','B','2013/2014'
'F1B112011','EU2231','B','2013/2014'
'F1B112015','EU2231','B+','2013/2014'
'F1B112016','EU2231','B+','2013/2014'
'F1B112017','EU2231','B+','2013/2014'
'F1B112018','EU2231','B','2013/2014'
'F1B112024','EU2231','B','2013/2014'
'F1B112025','EU2231','B','2013/2014'
'F1B112027','EU2231','B','2013/2014'
'F1B112031','EU2231','B','2013/2014'
'F1B112036','EU2231','B','2013/2014'
'F1B112037','EU2231','B','2013/2014'
'F1B112038','EU2231','B','2013/2014'
'F1B112039','EU2231','B','2013/2014'
'F1B112042','EU2231','B','2013/2014'
'F1B112045','EU2231','E','2013/2014'
'F1B112046','EU2231','E','2013/2014'
'F1B112048','EU2231','B','2013/2014'
'F1B112050','EU2231','E','2013/2014'
'F1B113035','EU2231','E','2013/2014'
'F1B110015','EU1213','B+','2013/2014'
'F1B110033','EU1213','B','2013/2014'
'F1B110067','EU1213','C+','2013/2014'
'F1B110070','EU1213','A','2013/2014'
'F1B112011','EU1213','C','2013/2014'
'F1B113001','EU1213','C+','2013/2014'
'F1B113002','EU1213','A','2013/2014'
'F1B113003','EU1213','C','2013/2014'
'F1B113004','EU1213','C','2013/2014'
'F1B113005','EU1213','K','2013/2014'
'F1B113006','EU1213','A','2013/2014'
'F1B113008','EU1213','K','2013/2014'
'F1B113009','EU1213','K','2013/2014'
'F1B113010','EU1213','K','2013/2014'
'F1B113011','EU1213','A','2013/2014'
'F1B113013','EU1213','C+','2013/2014'
'F1B113014','EU1213','B+','2013/2014'
'F1B113015','EU1213','C','2013/2014'
'F1B113016','EU1213','B','2013/2014'
'F1B113017','EU1213','C','2013/2014'
'F1B113018','EU1213','E','2013/2014'
'F1B113019','EU1213','K','2013/2014'
'F1B113020','EU1213','C','2013/2014'
'F1B113021','EU1213','B','2013/2014'
'F1B113022','EU1213','C+','2013/2014'
'F1B113023','EU1213','E','2013/2014'
'F1B113024','EU1213','B+','2013/2014'
'F1B113026','EU1213','B+','2013/2014'
'F1B113028','EU1213','C','2013/2014'
'F1B113029','EU1213','C','2013/2014'
'F1B113030','EU1213','C','2013/2014'
'F1B113031','EU1213','C','2013/2014'
'F1B113032','EU1213','D+','2013/2014'
'F1B113033','EU1213','B+','2013/2014'
'F1B113034','EU1213','D+','2013/2014'
'F1B113036','EU1213','E','2013/2014'
'F1B113037','EU1213','B','2013/2014'
'F1B113038','EU1213','E','2013/2014'
'F1B113039','EU1213','K','2013/2014'
'F1B110002','EU2234','C','2013/2014'
'F1B110006','EU2234','C','2013/2014'
'F1B110010','EU2234','D+','2013/2014'
'F1B110014','EU2234','C','2013/2014'
'F1B110018','EU2234','D+','2013/2014'
'F1B110020','EU2234','B','2013/2014'
'F1B110021','EU2234','B','2013/2014'
'F1B110029','EU2234','C+','2013/2014'
'F1B110036','EU2234','D+','2013/2014'
'F1B110038','EU2234','C','2013/2014'
'F1B110041','EU2234','D+','2013/2014'
'F1B110042','EU2234','C','2013/2014'
'F1B110062','EU2234','B','2013/2014'
'F1B110066','EU2234','B','2013/2014'
'F1B110068','EU2234','C+','2013/2014'
'F1B110071','EU2234','C','2013/2014'
'F1B110076','EU2234','C','2013/2014'
'F1B110077','EU2234','D+','2013/2014'
'F1B110078','EU2234','C','2013/2014'
'F1B111004','EU2234','D','2013/2014'
